id,role,name,password,ssn,address,home_phone,mobile_phone,email,location,tickets,reports
1,boss,einar,12345,15555555,einarville,3333,333333,einskikingsi@kingshit.com,whoville,[],[]
2,boss,einar,12345,15555555,einarville,3333,333333,einskikingsi@kingshit.com,whoville,[],[]
3,boss,einar,12345,15555555,einarville,3333,333333,einskikingsi@kingshit.com,whoville,[],[]
4,boss,einar,12345,15555555,einarville,3333,333333,einskikingsi@kingshit.com,whoville,[],[]
5,boss,einar,12345,15555555,einarville,3333,333333,einskikingsi@kingshit.com,whoville,[],[]
6,boss,einar,12345,15555555,einarville,3333,333333,einskikingsi@kingshit.com,whoville,[],[]
7,boss,einar,12345,15555555,einarville,3333,333333,einskikingsi@kingshit.com,whoville,[],[]
8,employee,Jón,yummy,1112922559,Kárastígur 5,5812345,8885555,jon@ru.is,Reykjavík,[],[]
9,employee,Jón,yummy,1112922559,Kárastígur 5,5812345,8885555,jon@ru.is,Reykjavík,[],[]
10,employee,Jón,yummy,1112922559,Kárastígur 5,5812345,8885555,jon@ru.is,Reykjavík,[],[]
